frame,leading,right_leading,left_leading,following,right_following,left_following
7.87,,36.0,14.0,,,
7.9,,36.0,14.0,,,
7.93,,36.0,14.0,,,
7.97,,36.0,14.0,,,
8.0,,36.0,14.0,,,
8.03,,36.0,14.0,,,
8.07,,36.0,14.0,,,
8.1,,36.0,14.0,,,
8.13,,36.0,14.0,,,
8.17,,36.0,14.0,,,
8.2,,36.0,14.0,,,
8.23,,36.0,14.0,,,
8.27,,36.0,14.0,,,
8.3,,36.0,14.0,,,
8.33,,36.0,14.0,,,
8.37,,36.0,14.0,,,
8.4,,36.0,14.0,,,
8.43,,36.0,14.0,,,
8.47,,36.0,14.0,,,
8.5,,36.0,14.0,,,
8.53,,36.0,14.0,,,
8.57,,36.0,14.0,,,
8.6,,36.0,14.0,,,
8.63,,36.0,14.0,,,
8.67,,36.0,14.0,,,
8.7,,36.0,14.0,,,
8.73,,36.0,14.0,,,
8.77,,36.0,14.0,,,
8.8,,36.0,14.0,,,
8.83,,36.0,14.0,,,
8.87,,36.0,14.0,,,
8.9,,36.0,14.0,,,
8.93,,36.0,14.0,,,
8.97,,36.0,14.0,,,
9.0,,36.0,14.0,,,
9.03,,36.0,14.0,,,
9.07,,36.0,14.0,,,
9.1,,36.0,14.0,,,
9.13,,36.0,14.0,,,
9.17,,36.0,14.0,,,
9.2,,36.0,14.0,,,
9.23,,36.0,14.0,,,
9.27,,36.0,,,,
9.3,,36.0,,,,
9.33,,36.0,,,,
9.37,,36.0,,,,
9.4,,36.0,,,,
9.43,,36.0,,,,
9.47,,36.0,,,,
9.5,,36.0,,,,
9.53,,36.0,,,,
9.57,,36.0,,,,
9.6,,36.0,,,,
9.63,,36.0,,,,
9.67,,36.0,,,,
9.7,,36.0,,,,
9.73,,36.0,,,,
9.77,,36.0,,,,
9.8,,36.0,,,,
9.83,,36.0,,,,
9.87,,36.0,,,,
9.9,,36.0,,,,
9.93,,36.0,,,,
9.97,,36.0,,,,
