frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
2.9,1, white car,221.85,470.23,251.3,484.56,236.57,477.39,221.85,477.39,251.3,477.39,29.45,14.34,3
2.93,1, white car,221.64,470.23,250.56,484.35,236.1,477.29,221.64,477.29,250.56,477.29,28.92,14.12,3
2.97,1, white car,220.72,470.18,249.74,484.37,235.23,477.28,220.72,477.28,249.74,477.28,29.03,14.19,3
3.0,1, white car,220.85,470.31,249.37,484.3,235.11,477.3,220.85,477.3,249.37,477.3,28.52,13.99,3
3.03,1, white car,220.95,470.37,249.12,484.25,235.04,477.31,220.95,477.31,249.12,477.31,28.17,13.88,3
3.07,1, white car,220.45,470.18,248.92,484.28,234.69,477.23,220.45,477.23,248.92,477.23,28.47,14.1,3
3.1,1, white car,219.29,469.98,248.29,484.34,233.79,477.16,219.29,477.16,248.29,477.16,29.0,14.35,3
3.13,1, white car,218.23,469.96,247.55,484.45,232.89,477.2,218.23,477.2,247.55,477.2,29.32,14.49,3
3.17,1, white car,217.44,469.98,246.8,484.43,232.12,477.21,217.44,477.21,246.8,477.21,29.36,14.45,3
3.2,1, white car,217.26,470.07,246.41,484.37,231.83,477.22,217.26,477.22,246.41,477.22,29.15,14.31,3
3.23,1, white car,216.54,470.05,245.87,484.35,231.21,477.2,216.54,477.2,245.87,477.2,29.32,14.3,3
3.27,1, white car,215.34,469.91,245.22,484.38,230.28,477.14,215.34,477.14,245.22,477.14,29.88,14.47,3
3.3,1, white car,214.6,469.85,244.89,484.42,229.74,477.14,214.6,477.14,244.89,477.14,30.29,14.57,3
3.33,1, white car,213.93,469.79,244.63,484.45,229.28,477.12,213.93,477.12,244.63,477.12,30.7,14.66,3
3.37,1, white car,213.92,469.88,244.64,484.45,229.28,477.16,213.92,477.16,244.64,477.16,30.72,14.57,3
3.4,1, white car,213.93,469.95,244.54,484.39,229.23,477.17,213.93,477.17,244.54,477.17,30.61,14.44,3
