frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
7.1,3, black car,1106.99,513.39,1135.09,526.92,1121.04,520.16,1106.99,520.16,1135.09,520.16,28.11,13.53,1
7.13,3, black car,1103.92,513.51,1131.74,526.91,1117.83,520.21,1103.92,520.21,1131.74,520.21,27.82,13.4,1
7.17,3, black car,1101.3,513.38,1129.14,526.78,1115.22,520.08,1101.3,520.08,1129.14,520.08,27.84,13.4,1
7.2,3, black car,1097.34,513.55,1125.65,527.12,1111.49,520.34,1097.34,520.34,1125.65,520.34,28.31,13.57,1
7.23,3, black car,1095.19,513.58,1123.7,527.21,1109.44,520.4,1095.19,520.4,1123.7,520.4,28.51,13.63,1
7.27,3, black car,1092.56,513.84,1121.01,527.43,1106.78,520.64,1092.56,520.64,1121.01,520.64,28.45,13.59,1
7.3,3, black car,1090.16,514.06,1118.16,527.46,1104.16,520.76,1090.16,520.76,1118.16,520.76,28.0,13.4,1
7.33,3, black car,1087.44,514.01,1115.01,527.2,1101.23,520.6,1087.44,520.6,1115.01,520.6,27.57,13.19,1
7.37,3, black car,1083.97,513.79,1112.1,527.24,1098.04,520.51,1083.97,520.51,1112.1,520.51,28.13,13.45,1
7.4,3, black car,1081.12,513.69,1110.07,527.54,1095.6,520.61,1081.12,520.61,1110.07,520.61,28.94,13.85,1
7.43,3, black car,1078.94,513.43,1107.97,527.34,1093.45,520.38,1078.94,520.38,1107.97,520.38,29.03,13.91,1
7.47,3, black car,1076.2,512.85,1105.79,527.0,1090.99,519.92,1076.2,519.92,1105.79,519.92,29.6,14.15,1
7.5,3, black car,1073.34,512.99,1102.39,526.83,1087.87,519.91,1073.34,519.91,1102.39,519.91,29.05,13.85,1
7.53,3, black car,1070.72,513.57,1099.24,527.15,1084.98,520.36,1070.72,520.36,1099.24,520.36,28.52,13.58,1
7.57,3, black car,1067.78,513.19,1096.31,526.77,1082.05,519.98,1067.78,519.98,1096.31,519.98,28.53,13.58,1
7.6,3, black car,1065.48,512.98,1094.59,526.84,1080.04,519.91,1065.48,519.91,1094.59,519.91,29.11,13.86,1
7.63,3, black car,1062.69,512.76,1092.2,526.75,1077.44,519.75,1062.69,519.75,1092.2,519.75,29.51,13.98,1
7.67,3, black car,1060.42,513.04,1088.95,526.52,1074.68,519.78,1060.42,519.78,1088.95,519.78,28.53,13.48,1
7.7,3, black car,1057.83,513.18,1085.85,526.35,1071.84,519.76,1057.83,519.76,1085.85,519.76,28.02,13.17,1
7.73,3, black car,1054.99,513.29,1082.0,525.98,1068.5,519.63,1054.99,519.63,1082.0,519.63,27.01,12.69,1
7.77,3, black car,1052.32,512.9,1079.51,525.68,1065.92,519.29,1052.32,519.29,1079.51,519.29,27.19,12.78,1
7.8,3, black car,1048.87,512.77,1076.48,525.7,1062.67,519.24,1048.87,519.24,1076.48,519.24,27.61,12.94,1
7.83,3, black car,1046.67,512.44,1074.6,525.53,1060.64,518.98,1046.67,518.98,1074.6,518.98,27.93,13.09,1
7.87,3, black car,1043.97,512.47,1072.03,525.61,1058.0,519.04,1043.97,519.04,1072.03,519.04,28.07,13.14,1
7.9,3, black car,1041.31,512.48,1068.93,525.41,1055.12,518.94,1041.31,518.94,1068.93,518.94,27.61,12.93,1
7.93,3, black car,1038.64,512.34,1066.08,525.18,1052.36,518.76,1038.64,518.76,1066.08,518.76,27.44,12.84,1
7.97,3, black car,1036.24,512.35,1063.61,525.17,1049.93,518.76,1036.24,518.76,1063.61,518.76,27.37,12.82,1
8.0,3, black car,1033.61,512.18,1061.65,525.32,1047.63,518.75,1033.61,518.75,1061.65,518.75,28.04,13.14,1
8.03,3, black car,1031.25,511.97,1059.5,525.21,1045.38,518.59,1031.25,518.59,1059.5,518.59,28.25,13.24,1
8.07,3, black car,1028.12,511.88,1056.41,525.1,1042.27,518.49,1028.12,518.49,1056.41,518.49,28.29,13.22,1
8.1,3, black car,1025.2,511.92,1053.22,524.97,1039.21,518.45,1025.2,518.45,1053.22,518.45,28.02,13.05,1
8.13,3, black car,1022.62,511.83,1050.8,524.87,1036.71,518.35,1022.62,518.35,1050.8,518.35,28.18,13.04,1
8.17,3, black car,1020.66,511.62,1048.83,524.55,1034.75,518.08,1020.66,518.08,1048.83,518.08,28.17,12.93,1
8.2,3, black car,1016.82,511.45,1045.25,524.46,1031.03,517.95,1016.82,517.95,1045.25,517.95,28.43,13.01,1
8.23,3, black car,1014.35,511.66,1042.83,524.71,1028.59,518.19,1014.35,518.19,1042.83,518.19,28.48,13.05,1
8.27,3, black car,1011.55,511.34,1040.51,524.59,1026.03,517.97,1011.55,517.97,1040.51,517.97,28.96,13.25,1
8.3,3, black car,1008.94,511.4,1038.04,524.74,1023.49,518.07,1008.94,518.07,1038.04,518.07,29.11,13.34,1
8.33,3, black car,1006.32,511.22,1035.44,524.55,1020.88,517.89,1006.32,517.89,1035.44,517.89,29.12,13.32,1
8.37,3, black car,1003.54,511.29,1032.7,524.63,1018.12,517.96,1003.54,517.96,1032.7,517.96,29.16,13.34,1
8.4,3, black car,1000.93,511.29,1029.82,524.47,1015.38,517.88,1000.93,517.88,1029.82,517.88,28.89,13.18,1
8.43,3, black car,998.26,511.23,1027.04,524.4,1012.65,517.81,998.26,517.81,1027.04,517.81,28.78,13.17,1
8.47,3, black car,995.43,511.29,1024.27,524.53,1009.85,517.91,995.43,517.91,1024.27,517.91,28.84,13.25,1
8.5,3, black car,993.23,511.26,1021.57,524.31,1007.4,517.78,993.23,517.78,1021.57,517.78,28.34,13.05,1
8.53,3, black car,991.06,510.65,1019.05,523.51,1005.05,517.08,991.06,517.08,1019.05,517.08,27.99,12.86,1
8.57,3, black car,988.62,510.68,1016.63,523.58,1002.63,517.13,988.62,517.13,1016.63,517.13,28.0,12.9,1
8.6,3, black car,984.94,510.33,1013.84,523.64,999.39,516.98,984.94,516.98,1013.84,516.98,28.9,13.32,1
8.63,3, black car,981.96,510.23,1011.08,523.66,996.52,516.94,981.96,516.94,1011.08,516.94,29.12,13.43,1
8.67,3, black car,979.63,510.16,1008.13,523.33,993.88,516.74,979.63,516.74,1008.13,516.74,28.5,13.16,1
8.7,3, black car,977.59,510.08,1005.84,523.1,991.72,516.59,977.59,516.59,1005.84,516.59,28.24,13.02,1
8.73,3, black car,975.45,510.02,1003.27,522.85,989.36,516.44,975.45,516.44,1003.27,516.44,27.81,12.83,1
