frame,leading,right_leading,left_leading,following,right_following,left_following,leading_relative_distance,leading_relative_speed_x,leading_relative_speed_y,right_leading_relative_distance,right_leading_relative_speed_x,right_leading_relative_speed_y,left_leading_relative_distance,left_leading_relative_speed_x,left_leading_relative_speed_y,following_relative_distance,following_relative_speed_x,following_relative_speed_y,right_following_relative_distance,right_following_relative_speed_x,right_following_relative_speed_y,left_following_relative_distance,left_following_relative_speed_x,left_following_relative_speed_y
5.57,,,10.0,7.0,,,,,,,,,94.086,12.6,0.65,127.257,1.02,1.39,,,,,,
5.6,,,10.0,7.0,,,,,,,,,94.395,3.14,4.82,127.111,1.39,1.21,,,,,,
5.63,,,10.0,7.0,,,,,,,,,94.708,2.96,2.78,127.301,1.76,1.39,,,,,,
5.67,,,10.0,7.0,,,,,,,,,95.384,6.39,2.5,127.359,0.56,1.11,,,,,,
5.7,,,10.0,7.0,,,,,,,,,96.101,6.76,1.39,127.623,2.32,3.89,,,,,,
5.73,10.0,,,,7.0,,96.376,2.41,0.0,,,,,,,,,,127.486,1.3,0.56,,,
5.77,10.0,,,,7.0,,97.565,11.39,4.07,,,,,,,,,,127.553,0.55,0.74,,,
5.8,10.0,,,,7.0,,98.762,11.11,2.69,,,,,,,,,,127.638,0.74,1.2,,,
5.83,10.0,,,,7.0,,99.301,5.09,1.39,,,,,,,,,,127.672,0.28,0.28,,,
5.87,10.0,,,,7.0,,99.594,2.78,1.85,,,,,,,,,,128.163,4.53,0.27,,,
5.9,10.0,,,,7.0,,100.073,4.63,6.2,,,,,,,,,,128.42,2.4,0.56,,,
5.93,10.0,,,,7.0,,100.865,7.41,4.82,,,,,,,,,,127.927,4.63,1.58,,,
5.97,10.0,,,,7.0,,101.833,9.08,2.77,,,,,,,,,,128.02,0.74,1.85,,,
6.0,10.0,,,,7.0,,102.305,4.35,1.49,,,,,,,,,,128.248,2.13,0.93,,,
6.03,10.0,,,,7.0,,103.555,11.58,3.24,,,,,,,,,,128.052,1.76,0.74,,,
6.07,10.0,,,,7.0,,104.073,4.81,1.39,,,,,,,,,,128.944,8.15,1.85,,,
6.1,10.0,,,,7.0,,104.97,8.33,2.4,,,,,,,,,,128.553,3.61,0.64,,,
6.13,10.0,,,,7.0,,105.137,1.57,2.96,,,,,,,,,,128.395,1.66,3.52,,,
6.17,10.0,,,,7.0,,105.396,2.4,2.87,,,,,,,,,,128.46,0.65,0.09,,,
6.2,10.0,,,,7.0,,106.255,7.97,4.82,,,,,,,,,,128.63,1.48,0.93,,,
6.23,10.0,,,,7.0,,106.881,5.93,3.24,,,,,,,,,,129.298,6.02,2.69,,,
6.27,10.0,,,,7.0,,107.729,7.78,3.89,,,,,,,,,,128.966,3.06,0.46,,,
6.3,10.0,,,,7.0,,108.528,7.31,4.16,,,,,,,,,,128.545,3.98,3.42,,,
6.33,10.0,,,,7.0,,109.163,5.93,0.37,,,,,,,,,,129.441,8.14,1.39,,,
6.37,10.0,,,,7.0,,109.674,4.73,1.12,,,,,,,,,,129.389,0.37,0.46,,,
6.4,10.0,,,,7.0,,110.5,7.69,0.18,,,,,,,,,,129.394,0.09,0.92,,,
6.43,10.0,,,,7.0,,111.362,7.87,1.86,,,,,,,,,,129.115,2.6,0.93,,,
6.47,10.0,,,,7.0,,112.397,9.54,2.59,,,,,,,,,,128.896,2.04,1.02,,,
6.5,10.0,,,,7.0,,112.98,5.38,1.86,,,,,,,,,,129.604,6.57,0.75,,,
6.53,10.0,,,,7.0,,113.213,2.13,1.39,,,,,,,,,,130.472,7.87,0.74,,,
6.57,10.0,,,,7.0,,113.725,4.63,5.0,,,,,,,,,,131.466,9.17,1.76,,,
6.6,10.0,,,,7.0,,114.66,8.7,1.76,,,,,,,,,,132.017,5.0,1.95,,,
6.63,10.0,,,,7.0,,115.931,11.48,4.08,,,,,,,,,,130.913,10.18,1.02,,,
6.67,10.0,,,,7.0,,116.058,1.11,2.03,,,,,,,,,,130.744,1.48,0.09,,,
6.7,10.0,,,,7.0,,116.516,4.26,3.7,,,,,,,,,,129.923,7.78,0.46,,,
6.73,10.0,,,,7.0,,117.094,5.28,2.13,,,,,,,,,,130.405,4.44,0.37,,,
6.77,10.0,,,,7.0,,117.531,3.89,2.96,,,,,,,,,,130.871,4.26,1.94,,,
6.8,10.0,,,,7.0,,118.221,6.39,1.39,,,,,,,,,,130.81,0.55,0.55,,,
6.83,10.0,,,,7.0,,118.606,3.43,1.2,,,,,,,,,,130.65,1.3,2.32,,,
6.87,10.0,,,,7.0,,119.584,8.98,1.85,,,,,,,,,,130.533,1.02,2.13,,,
6.9,10.0,,,,7.0,,120.453,7.87,3.15,,,,,,,,,,130.411,1.02,1.94,,,
6.93,10.0,,,,7.0,,120.976,4.9,0.74,,,,,,,,,,130.698,2.5,2.87,,,
6.97,10.0,,,,7.0,,120.983,0.0,1.39,,,,,,,,,,130.478,2.22,3.15,,,
7.0,10.0,,,,7.0,,121.36,3.33,3.34,,,,,,,,,,130.668,1.58,1.67,,,
7.03,10.0,,,,7.0,,122.007,5.83,3.33,,,,,,,,,,130.389,2.5,0.83,,,
7.07,10.0,,,,7.0,,122.704,6.29,3.79,,,,,,,,,,130.838,4.17,1.58,,,
7.1,10.0,,,,7.0,,123.33,5.56,3.61,,,,,,,,,,131.042,1.94,0.18,,,
7.13,10.0,,,,7.0,,124.322,8.89,5.19,,,,,,,,,,131.125,0.74,0.47,,,
7.17,10.0,,,,7.0,,125.631,11.94,3.24,,,,,,,,,,130.862,2.59,2.5,,,
7.2,10.0,,,,7.0,,125.833,1.67,3.15,,,,,,,,,,130.514,3.33,1.76,,,
7.23,10.0,,,,7.0,,125.798,0.37,1.94,,,,,,,,,,131.285,7.04,1.11,,,
7.27,10.0,,,,7.0,,125.785,0.28,1.02,,,,,,,,,,131.465,1.76,1.48,,,
7.3,10.0,,,,7.0,,126.873,10.0,1.39,,,,,,,,,,131.591,1.2,0.19,,,
7.33,10.0,,,,7.0,,127.862,9.07,0.84,,,,,,,,,,131.353,2.31,1.02,,,
7.37,10.0,,,,7.0,,128.245,3.52,1.75,,,,,,,,,,131.126,2.04,0.37,,,
7.4,10.0,,,,7.0,,128.636,3.61,1.02,,,,,,,,,,131.356,2.22,1.39,,,
7.43,10.0,,,,7.0,,129.349,6.3,3.89,,,,,,,,,,131.349,0.09,0.37,,,
7.47,10.0,,,,7.0,,130.271,8.7,0.74,,,,,,,,,,131.097,2.22,1.01,,,
7.5,10.0,,,,7.0,,131.048,7.13,1.11,,,,,,,,,,130.88,1.94,2.59,,,
7.53,10.0,,,,7.0,,131.608,5.18,0.46,,,,,,,,,,130.312,5.18,2.22,,,
7.57,10.0,,,,7.0,,131.518,0.84,1.3,,,,,,,,,,130.581,2.6,0.92,,,
7.6,,,,,7.0,,,,,,,,,,,,,,130.859,2.68,1.85,,,
7.63,,,,,7.0,,,,,,,,,,,,,,131.577,6.76,1.02,,,
7.67,,,,,7.0,,,,,,,,,,,,,,131.917,2.97,2.69,,,
7.7,,,,,7.0,,,,,,,,,,,,,,131.842,0.84,2.31,,,
7.73,,,,,7.0,,,,,,,,,,,,,,131.843,0.09,0.18,,,
7.77,10.0,,,,7.0,,133.987,146.11,16.76,,,,,,,,,,131.991,1.3,0.28,,,
7.8,10.0,,,,7.0,,134.797,7.59,0.83,,,,,,,,,,131.973,0.19,0.28,,,
7.83,10.0,,,,7.0,,135.309,4.63,1.58,,,,,,,,,,132.366,3.52,1.3,,,
7.87,10.0,,,,7.0,,135.801,4.63,0.18,,,,,,,,,,131.704,6.11,0.37,,,
7.9,10.0,,,,7.0,,135.976,1.66,0.56,,,,,,,,,,131.384,2.87,3.24,,,
7.93,10.0,,,,7.0,,136.574,5.37,1.11,,,,,,,,,,131.525,1.57,1.39,,,
7.97,10.0,,,,7.0,,136.867,2.59,1.67,,,,,,,,,,131.823,2.88,1.95,,,
8.0,10.0,,,,7.0,,137.126,2.03,4.91,,,,,,,,,,131.904,0.65,0.19,,,
8.03,10.0,,,,7.0,,137.643,4.72,2.04,,,,,,,,,,131.71,1.75,1.57,,,
8.07,10.0,,,,7.0,,138.666,9.35,1.2,,,,,,,,,,131.129,5.28,2.04,,,
8.1,10.0,,,,7.0,,139.05,3.42,1.11,,,,,,,,,,131.23,1.11,1.57,,,
8.13,10.0,,,,,,139.435,3.61,0.37,,,,,,,,,,,,,,,
8.17,10.0,,,,,,139.817,3.42,1.95,,,,,,,,,,,,,,,
8.2,10.0,,,,,,140.77,8.8,0.74,,,,,,,,,,,,,,,
8.23,10.0,,,,,,141.418,5.83,1.58,,,,,,,,,,,,,,,
8.27,10.0,,,,,,141.433,0.1,1.02,,,,,,,,,,,,,,,
8.3,10.0,,,,,,141.926,4.44,1.01,,,,,,,,,,,,,,,
8.33,10.0,,,,,,141.909,0.19,0.83,,,,,,,,,,,,,,,
8.37,10.0,,,,,,142.436,4.72,1.94,,,,,,,,,,,,,,,
8.4,10.0,,,,,,143.07,6.01,1.39,,,,,,,,,,,,,,,
8.43,10.0,,,,,,143.697,5.65,2.04,,,,,,,,,,,,,,,
8.47,10.0,,,,,,143.955,2.22,1.39,,,,,,,,,,,,,,,
8.5,10.0,,,,,,144.274,2.96,1.02,,,,,,,,,,,,,,,
8.53,10.0,,,,7.0,,144.979,6.38,1.3,,,,,,,,,,131.076,291.76,20.83,,,
8.57,10.0,,,,,,145.213,1.94,2.41,,,,,,,,,,,,,,,
8.6,10.0,,,,7.0,,145.638,3.8,0.74,,,,,,,,,,131.136,26.02,1.11,,,
8.63,10.0,,,,7.0,,145.852,1.94,0.46,,,,,,,,,,130.673,4.26,0.65,,,
8.67,10.0,,,,7.0,,146.016,1.76,2.5,,,,,,,,,,130.964,2.87,4.53,,,
8.7,10.0,,,,7.0,,146.612,5.65,0.65,,,,,,,,,,131.491,4.91,0.65,,,
8.73,10.0,,,,7.0,,146.824,1.95,0.18,,,,,,,,,,131.534,0.55,1.48,,,
8.77,10.0,,,,7.0,,147.5,6.11,2.87,,,,,,,,,,131.038,4.63,0.18,,,
8.8,10.0,,,,7.0,,147.771,2.31,1.2,,,,,,,,,,131.033,0.09,1.01,,,
8.83,10.0,,,,7.0,,148.999,11.49,0.18,,,,,,,,,,130.747,2.6,1.38,,,
8.87,10.0,,,,7.0,,149.6,5.74,1.11,,,,,,,,,,130.856,1.12,2.41,,,
8.9,10.0,,,,7.0,,149.466,1.29,0.09,,,,,,,,,,131.278,3.89,0.56,,,
8.93,10.0,,,,7.0,,149.446,0.46,2.87,,,,,,,,,,131.138,1.3,1.2,,,
8.97,10.0,,,,7.0,,149.303,1.76,3.52,,,,,,,,,,131.347,1.76,3.98,,,
