Frame: 2.2, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.23, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.27, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.3, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.33, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.37, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.4, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.43, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.47, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.5, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.53, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.57, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.6, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.63, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.67, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.7, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.73, Preceding ID: None, Preceding Right ID: None, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.77, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.8, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.83, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.87, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
